data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_f1_macro,valid_f1_micro,valid_f1_weighted,valid_loss
,,,,,1.600000000000001e-05,0,,,,,,,,,,,
,,,,0,,5,,,0.1979166716337204,,,,0.15665265917778015,,,,1.405138373374939
0.010643801651895046,58.9687614440918,-61.621925354003906,3.5311577320098877,0,,5,0.2231884002685547,1.422952651977539,,,,,,,,,
,,,,,7.69497965020184e-05,6,,,,,,,,,,,
,,,,1,,11,,,0.2708333432674408,0.2708333432674408,0.2708333432674408,0.02777777798473835,0.24137520790100098,0.24137519299983978,0.2708333432674408,0.24137519299983978,1.3952289819717407
0.010688756592571735,51.437835693359375,-60.17566680908203,3.5161285400390625,1,,11,0.269565224647522,1.41571843624115,,,,,,,,,
,,,,,0.00022110254336601682,12,,,,,,,,,,,
,,,,2,,17,,,0.25,0.25,0.25,0.0,0.20809495449066162,0.20809493958950043,0.25,0.20809493958950043,1.3920226097106934
0.010550218634307384,59.623172760009766,-67.75778198242188,3.5283095836639404,2,,17,0.26376810669898987,1.3774946928024292,,,,,,,,,
,,,,,0.0003569365678152486,18,,,,,,,,,,,
,,,,3,,23,,,0.3020833432674408,0.3020833432674408,0.3020833432674408,0.0694444477558136,0.2866426706314087,0.2866426706314087,0.3020833432674408,0.2866426706314087,1.3779892921447754
0.010041431523859501,59.08967208862305,-64.68926239013672,3.529798984527588,3,,23,0.3014492690563202,1.3548221588134766,,,,,,,,,
,,,,,0.0003998929179236032,24,,,,,,,,,,,
,,,,4,,29,,,0.3541666567325592,0.3541666567325592,0.3541666567325592,0.1388888955116272,0.34039947390556335,0.34039947390556335,0.3541666567325592,0.34039947390556335,1.3676596879959106
0.009864561259746552,52.009368896484375,-60.19715881347656,3.522374153137207,4,,29,0.35072463750839233,1.3132115602493286,,,,,,,,,
,,,,,0.00039477541675388334,30,,,,,,,,,,,
,,,,5,,35,,,0.3020833432674408,0.3020833432674408,0.3020833432674408,0.0694444477558136,0.2894592881202698,0.2894592881202698,0.3020833432674408,0.2894592881202698,1.3591123819351196
0.009788097813725471,55.37427520751953,-62.69646072387695,3.511960029602051,5,,35,0.4637681245803833,1.2583627700805664,,,,,,,,,
,,,,,0.00038217283629317524,36,,,,,,,,,,,
,,,,6,,41,,,0.3229166567325592,0.3229166567325592,0.3229166567325592,0.0972222238779068,0.3220066428184509,0.3220066428184509,0.3229166567325592,0.3220066428184509,1.3452457189559937
0.010195054113864899,60.603843688964844,-66.34204864501953,3.5342440605163574,6,,41,0.4898550808429718,1.212463140487671,,,,,,,,,
,,,,,0.00036256948664097543,42,,,,,,,,,,,
,,,,7,,47,,,0.3229166567325592,0.3229166567325592,0.3229166567325592,0.0972222238779068,0.3209829330444336,0.3209829032421112,0.3229166567325592,0.3209829032421112,1.3376188278198242
0.01069355197250843,53.878662109375,-61.034263610839844,3.534886360168457,7,,47,0.5681159496307373,1.139805793762207,,,,,,,,,
,,,,,0.0003367187135307326,48,,,,,,,,,,,
,,,,8,,53,,,0.3645833432674408,0.3645833432674408,0.3645833432674408,0.1527777761220932,0.3465936779975891,0.3465937077999115,0.3645833432674408,0.3465937077999115,1.331006646156311
0.011680208146572113,46.57170867919922,-58.02699661254883,3.5156755447387695,8,,53,0.5710144639015198,1.1173049211502075,,,,,,,,,
,,,,,0.0003056139476757931,54,,,,,,,,,,,
,,,,9,,59,,,0.3229166567325592,0.3229166567325592,0.3229166567325592,0.0972222238779068,0.3223077058792114,0.3223077058792114,0.3229166567325592,0.3223077058792114,1.3225003480911255
