data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_f1_macro,valid_f1_micro,valid_f1_weighted,valid_loss
,,,,,1.600000000000001e-05,0,,,,,,,,,,,
,,,,0,,151,,,0.27710843086242676,,,,0.2653321623802185,,,,1.3752645254135132
0.010090419091284275,41.656898498535156,-44.08335876464844,3.3392555713653564,0,,151,0.261433869600296,1.4005893468856812,,,,,,,,,
,,,,,7.241127749255203e-05,152,,,,,,,,,,,
,,,,1,,303,,,0.3401297628879547,0.3401297628879547,0.3403621017932892,0.12039386481046677,0.30385255813598633,0.30385252833366394,0.3401297628879547,0.3037453293800354,1.3184610605239868
0.007910962216556072,41.64996337890625,-44.46746063232422,3.33410906791687,1,,303,0.3029460310935974,1.3657866716384888,,,,,,,,,
,,,,,0.00020849685759164856,304,,,,,,,,,,,
,,,,2,,455,,,0.34939759969711304,0.34939759969711304,0.34921175241470337,0.1323455423116684,0.33409881591796875,0.33409881591796875,0.34939759969711304,0.3341984152793884,1.2809070348739624
0.0043853758834302425,40.26520538330078,-43.590126037597656,3.297401189804077,2,,455,0.36248454451560974,1.3030215501785278,,,,,,,,,
,,,,,0.0003442904754878622,456,,,,,,,,,,,
,,,,3,,607,,,0.4161260426044464,0.4161260426044464,0.41609182953834534,0.22146505117416382,0.4133602976799011,0.4133602976799011,0.4161260426044464,0.4133637547492981,1.2096353769302368
-0.0026268777437508106,38.52663803100586,-42.77466583251953,3.163153648376465,3,,607,0.4218170642852783,1.2184091806411743,,,,,,,,,
,,,,,0.00039999983313286614,608,,,,,,,,,,,
,,,,4,,759,,,0.44114920496940613,0.44114920496940613,0.44115033745765686,0.25484874844551086,0.4338500499725342,0.4338500499725342,0.44114920496940613,0.43382713198661804,1.1402456760406494
-0.00610527815297246,35.81773376464844,-38.380348205566406,2.9010190963745117,4,,759,0.4568397104740143,1.1420968770980835,,,,,,,,,
,,,,,0.0003961065055135995,760,,,,,,,,,,,
,,,,5,,911,,,0.44856348633766174,0.44856348633766174,0.448870986700058,0.2649577558040619,0.42829710245132446,0.42829710245132446,0.44856348633766174,0.42819756269454956,1.114952564239502
-0.005552722606807947,33.001277923583984,-34.90514373779297,2.679046154022217,5,,911,0.4878450632095337,1.0916681289672852,,,,,,,,,
,,,,,0.0003846769456087919,912,,,,,,,,,,,
,,,,6,,1063,,,0.4606116712093353,0.4606116712093353,0.46070149540901184,0.2808479070663452,0.4594176113605499,0.4594176113605499,0.4606116712093353,0.45936235785484314,1.0962971448898315
-0.0051572201773524284,31.4094295501709,-32.500553131103516,2.553086757659912,6,,1063,0.5092707276344299,1.061637282371521,,,,,,,,,
,,,,,0.00036615038499581413,1064,,,,,,,,,,,
,,,,7,,1215,,,0.4606116712093353,0.4606116712093353,0.4606257677078247,0.2807927131652832,0.45806533098220825,0.45806533098220825,0.4606116712093353,0.4580255448818207,1.1021740436553955
-0.0038980424869805574,30.29899024963379,-31.78661346435547,2.4740495681762695,7,,1215,0.5185413956642151,1.048746109008789,,,,,,,,,
,,,,,0.0003412387890092079,1216,,,,,,,,,,,
,,,,8,,1367,,,0.4689527451992035,0.4689527451992035,0.4691174328327179,0.2920142114162445,0.4570462107658386,0.4570462107658386,0.4689527451992035,0.456961065530777,1.0834225416183472
-0.0021952593233436346,29.5750732421875,-31.158384323120117,2.4171292781829834,8,,1367,0.5299752950668335,1.023197889328003,,,,,,,,,
,,,,,0.0003108994963121546,1368,,,,,,,,,,,
,,,,9,,1519,,,0.4847080707550049,0.4847080707550049,0.48478591442108154,0.31297653913497925,0.4785098433494568,0.4785098135471344,0.4847080707550049,0.4784643054008484,1.0710619688034058
0.0004352230462245643,29.61465072631836,-31.029813766479492,2.382603406906128,9,,1519,0.5335805416107178,1.004576563835144,,,,,,,,,
,,,,,0.00027629842890853056,1520,,,,,,,,,,,
,,,,10,,1671,,,0.48563483357429504,0.48563483357429504,0.4856567680835724,0.31417685747146606,0.48405563831329346,0.48405566811561584,0.48563483357429504,0.484029620885849,1.070642113685608
0.00360144954174757,29.00139045715332,-30.494443893432617,2.3560149669647217,10,,1671,0.5492377281188965,0.9914345741271973,,,,,,,,,
,,,,,0.00023876528641415495,1672,,,,,,,,,,,
,,,,11,,1823,,,0.4884152114391327,0.4884152114391327,0.4884861707687378,0.31792306900024414,0.4843953847885132,0.4843953847885132,0.4884152114391327,0.48436272144317627,1.0678600072860718
0.006652087904512882,28.745548248291016,-30.754539489746094,2.3371384143829346,11,,1823,0.5546971559524536,0.9834518432617188,,,,,,,,,
,,,,,0.00019974244644625782,1824,,,,,,,,,,,
,,,,12,,1975,,,0.48934197425842285,0.48934197425842285,0.48941898345947266,0.31915247440338135,0.4881719946861267,0.4881719648838043,0.48934197425842285,0.48812970519065857,1.0649333000183105
0.008188094943761826,28.63956642150879,-30.61516571044922,2.324337959289551,12,,1975,0.5573753714561462,0.970191478729248,,,,,,,,,
,,,,,0.00016072953486054466,1976,,,,,,,,,,,
,,,,13,,2127,,,0.47544023394584656,0.47544023394584656,0.47548532485961914,0.30058717727661133,0.4709163308143616,0.4709163308143616,0.47544023394584656,0.4708678722381592,1.0855591297149658
0.00891159474849701,28.835416793823242,-31.053991317749023,2.3167829513549805,13,,2127,0.5668520927429199,0.9621380567550659,,,,,,,,,
,,,,,0.00012322579597056154,2128,,,,,,,,,,,
,,,,14,,2279,,,0.4921223223209381,0.4921223223209381,0.49224838614463806,0.3228920102119446,0.4873969256877899,0.48739689588546753,0.4921223223209381,0.48734256625175476,1.0634040832519531
0.009864356368780136,28.787397384643555,-30.60064125061035,2.311533212661743,14,,2279,0.5713844299316406,0.9564024209976196,,,,,,,,,
,,,,,8.867247742951145e-05,2280,,,,,,,,,,,
,,,,15,,2431,,,0.4958294630050659,0.4958294630050659,0.4959176778793335,0.327806681394577,0.4930170774459839,0.4930170476436615,0.4958294630050659,0.49296846985816956,1.0583651065826416
0.010786278173327446,28.761037826538086,-31.200050354003906,2.3080673217773438,15,,2431,0.5738565921783447,0.9514403343200684,,,,,,,,,
,,,,,5.839744389120268e-05,2432,,,,,,,,,,,
,,,,16,,2583,,,0.4847080707550049,0.4847080707550049,0.48475492000579834,0.3129537105560303,0.4846821129322052,0.4846821427345276,0.4847080707550049,0.48464691638946533,1.062376856803894
