data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_f1_macro,valid_f1_micro,valid_f1_weighted,valid_loss
,,,,,1.600000000000001e-05,0,,,,,,,,,,,
,,,,0,,113,,,0.3374536335468292,,,,0.30859804153442383,,,,1.119843602180481
0.009458214044570923,42.946937561035156,-44.71077346801758,3.3194453716278076,0,,113,0.34271979331970215,1.1989413499832153,,,,,,,,,
,,,,,2.5413520580847373e-05,114,,,,,,,,,,,
,,,,1,,227,,,0.3992583453655243,0.3992583453655243,0.3988388776779175,0.09841914474964142,0.34855061769485474,0.3485506474971771,0.3992583453655243,0.3488546907901764,1.0877652168273926
0.00857151485979557,42.289241790771484,-43.94685745239258,3.319409132003784,1,,227,0.3751373589038849,1.108716368675232,,,,,,,,,
,,,,,5.273101597207656e-05,228,,,,,,,,,,,
,,,,2,,341,,,0.4215080440044403,0.4215080440044403,0.42161640524864197,0.13245558738708496,0.405112087726593,0.405112087726593,0.4215080440044403,0.40508031845092773,1.0526031255722046
0.007437978871166706,43.411048889160156,-45.132564544677734,3.315560817718506,2,,341,0.40013736486434937,1.079091191291809,,,,,,,,,
,,,,,9.527380070407785e-05,342,,,,,,,,,,,
,,,,3,,455,,,0.4313967823982239,0.4313967823982239,0.43136903643608093,0.1471329629421234,0.4150504469871521,0.4150504469871521,0.4313967823982239,0.4150761365890503,1.0167734622955322
0.005735249724239111,42.65021896362305,-44.666664123535156,3.3031301498413086,3,,455,0.4387362599372864,1.043994426727295,,,,,,,,,
,,,,,0.00014887023540558815,456,,,,,,,,,,,
,,,,4,,569,,,0.47836834192276,0.47836834192276,0.4779430031776428,0.21721404790878296,0.44186103343963623,0.44186103343963623,0.47836834192276,0.4421529471874237,0.9807261228561401
0.0027773070614784956,41.84819412231445,-45.80879592895508,3.27781081199646,4,,569,0.4675824046134949,1.0042634010314941,,,,,,,,,
,,,,,0.00020826478735657916,570,,,,,,,,,,,
