timestamp,F4,C4,S1,S3,C3,F3,y
74022.42015941365,-9346.284,-8913.274,-44.24565,-8474.337,-8016.2637,-8276.046,1
74022.42349285385,-5690.293,-5396.192,1665.506,-4697.989,-4662.546,-4938.4717,1
74022.42682629405,6442.974,6133.129,1552.2706,8316.522,5391.7886,5746.2754,1
74022.43015973426,6364.7554,5992.814,44.247,8322.3545,4728.163,5251.833,1
74022.43349317445,-5650.5376,-5494.9897,-1151.6444,-5092.222,-5397.699,-5351.6685,1
74022.43682661465,-9032.913,-8752.81,-44.24565,-9436.596,-7677.8794,-8089.783,1
74022.44016005484,-4538.2134,-4431.643,2373.5713,-5060.3823,-3685.5725,-3920.196,1
74022.44349349506,6386.358,5917.8394,1397.052,6561.401,5201.401,5623.156,1
74022.44682693525,6724.6523,6178.7734,44.247,6890.6577,4893.615,5521.6436,1
74022.45016037545,-6202.566,-6184.4385,-1653.6714,-7393.274,-6013.5933,-5915.2056,1
74022.45349381564,-9215.113,-8868.884,-44.24565,-11121.897,-7790.9736,-8151.4717,1
74022.45682725584,-5495.782,-5289.7095,1413.5073,-7308.672,-4470.1577,-4712.973,1
74022.46016069605,6556.3623,6211.5654,1622.2258,5976.543,5496.5,5936.759,1
74022.46349413625,6374.7197,6121.6123,-258.86,6279.0884,4942.3564,5353.5913,1
74022.46682757644,-7469.5815,-7168.5107,-2764.107,-8362.954,-6996.905,-7085.7974,1
74022.47016101664,-9608.328,-9176.018,-44.24565,-10663.251,-8261.899,-8581.791,1
74022.47349445685,-5449.543,-5278.2114,1712.4661,-5882.2075,-4532.9053,-4806.123,1
74022.47682789704,6502.639,6138.6064,1587.8901,7904.2246,5271.171,5754.4453,1
74022.48016133724,6587.1772,6242.0596,44.247,8903.308,4900.796,5459.656,1
74022.48349477744,-6542.988,-6372.791,-1993.7878,-4824.732,-6236.423,-6344.259,1
74022.48682821763,-9286.853,-8891.379,-44.24565,-7796.8584,-7948.3477,-8358.695,1
74022.49016165784,-4437.237,-4200.539,2108.2773,-2691.7283,-3436.982,-3843.012,1
74022.49349509804,6219.6045,5903.3184,1296.5924,9065.275,5046.7188,5446.132,1
74022.49682853823,6600.084,6222.864,44.247,9368.849,4790.0957,5350.953,1
74022.50016197843,-6382.551,-6139.2,-1914.0964,-5357.329,-5996.0044,-6130.037,1
74022.50349541863,-9206.708,-8955.266,-44.24565,-9349.0625,-7845.4263,-8354.503,1
74022.50682885884,-4660.8413,-4516.5127,2178.9524,-5489.4316,-3854.417,-4070.477,1
74022.51016229903,6677.21,6146.0806,1387.752,6295.7954,5361.1543,5821.683,1
74022.51349573923,6676.3257,6304.146,44.247,5961.9727,5045.604,5478.222,1
74022.51682917943,-6730.696,-6658.494,-2229.6252,-8943.385,-6468.431,-6537.1255,1
74022.52016261964,-9118.46,-8761.208,-44.24565,-11951.658,-7666.211,-8126.6167,1
74022.52349605983,-5657.33,-5451.812,979.8343,-8422.94,-4621.789,-5017.8716,1
74022.52682950003,6109.9453,5693.2896,1224.8595,4595.145,5114.5654,5405.6562,1
74022.53016294022,6335.94,5979.9165,44.247,5456.262,4808.346,5248.8384,1
74022.53349638042,-5840.293,-5599.185,-1040.602,-7361.4243,-5401.248,-5435.1475,1
74022.53682982063,-8941.363,-8454.375,-44.24565,-10420.737,-7445.1094,-7922.387,1
74022.54016326083,-3386.1921,-3213.1448,3679.142,-4080.3992,-2447.77,-2696.6145,1
74022.54349670102,6509.919,6077.8994,1783.5697,7649.675,5421.2812,5731.782,1
74022.54683014122,6292.7163,5919.9297,44.247,8633.216,4765.2627,5092.522,1
74022.55016358143,-6622.269,-6511.492,-1827.1302,-4708.3203,-6367.303,-6565.2837,1
74022.55349702162,-9243.028,-8939.369,-44.24565,-7265.068,-7895.9893,-8465.901,1
74022.55683046182,-4083.7446,-3971.5386,2978.9946,-1629.0989,-3253.7358,-3638.0842,1
74022.56016390202,6562.5967,6090.9033,1642.49,10123.746,5365.6035,5696.467,1
74022.56349734221,6633.92,6267.448,14.448,10210.479,4967.037,5386.7354,1
74022.56683078242,-7088.9795,-6943.32,-2388.999,-4988.635,-6878.284,-6867.6387,1
74022.57016422262,-9182.395,-8918.073,-44.24565,-8242.016,-7895.69,-8296.708,1
74022.57349766282,-6230.239,-6070.609,683.27936,-5849.5527,-5189.828,-5598.8345,1
74022.57683110301,6390.602,5939.705,1278.5728,6849.3984,5284.615,5615.4917,1
74022.58016454322,6636.6865,6175.069,-70.133,6620.3975,5087.4014,5516.8647,1
74022.58349798342,-6720.1924,-6544.1704,-2215.2021,-8661.133,-6253.472,-6462.73,1
74022.58683142361,-8952.169,-8631.936,-44.24565,-11922.28,-7441.2197,-7967.3057,1
74022.59016486381,-3453.677,-3368.6926,3498.8806,-6681.246,-2461.2751,-2833.5352,1
74022.5935,6833.9897,6272.2866,1978.8405,4676.9927,5672.4736,6093.24,1
74022.59683174422,6353.9497,5745.668,44.247,4693.35,4561.215,5202.123,1
74022.60016518441,-6035.8896,-5924.886,-1000.2973,-8093.109,-5700.4556,-5673.087,1
